name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
Fp1	EEG	V	0.0	500.0023144346504	ElectroEncephaloGram	1000.0046288693007	good	n/a
Fz	EEG	V	0.0	500.0023144346504	ElectroEncephaloGram	1000.0046288693007	good	n/a
F3	EEG	V	0.0	500.0023144346504	ElectroEncephaloGram	1000.0046288693007	good	n/a
F7	EEG	V	0.0	500.0023144346504	ElectroEncephaloGram	1000.0046288693007	good	n/a
F9	EEG	V	0.0	500.0023144346504	ElectroEncephaloGram	1000.0046288693007	good	n/a
FC5	EEG	V	0.0	500.0023144346504	ElectroEncephaloGram	1000.0046288693007	good	n/a
FC1	EEG	V	0.0	500.0023144346504	ElectroEncephaloGram	1000.0046288693007	good	n/a
C3	EEG	V	0.0	500.0023144346504	ElectroEncephaloGram	1000.0046288693007	good	n/a
T7	EEG	V	0.0	500.0023144346504	ElectroEncephaloGram	1000.0046288693007	good	n/a
CP5	EEG	V	0.0	500.0023144346504	ElectroEncephaloGram	1000.0046288693007	good	n/a
CP1	EEG	V	0.0	500.0023144346504	ElectroEncephaloGram	1000.0046288693007	good	n/a
Pz	EEG	V	0.0	500.0023144346504	ElectroEncephaloGram	1000.0046288693007	good	n/a
P3	EEG	V	0.0	500.0023144346504	ElectroEncephaloGram	1000.0046288693007	good	n/a
P7	EEG	V	0.0	500.0023144346504	ElectroEncephaloGram	1000.0046288693007	good	n/a
P9	EEG	V	0.0	500.0023144346504	ElectroEncephaloGram	1000.0046288693007	good	n/a
O1	EEG	V	0.0	500.0023144346504	ElectroEncephaloGram	1000.0046288693007	good	n/a
Oz	EEG	V	0.0	500.0023144346504	ElectroEncephaloGram	1000.0046288693007	good	n/a
O2	EEG	V	0.0	500.0023144346504	ElectroEncephaloGram	1000.0046288693007	good	n/a
P10	EEG	V	0.0	500.0023144346504	ElectroEncephaloGram	1000.0046288693007	good	n/a
P8	EEG	V	0.0	500.0023144346504	ElectroEncephaloGram	1000.0046288693007	good	n/a
P4	EEG	V	0.0	500.0023144346504	ElectroEncephaloGram	1000.0046288693007	good	n/a
CP2	EEG	V	0.0	500.0023144346504	ElectroEncephaloGram	1000.0046288693007	good	n/a
CP6	EEG	V	0.0	500.0023144346504	ElectroEncephaloGram	1000.0046288693007	good	n/a
T8	EEG	V	0.0	500.0023144346504	ElectroEncephaloGram	1000.0046288693007	good	n/a
C4	EEG	V	0.0	500.0023144346504	ElectroEncephaloGram	1000.0046288693007	good	n/a
Cz	EEG	V	0.0	500.0023144346504	ElectroEncephaloGram	1000.0046288693007	good	n/a
FC2	EEG	V	0.0	500.0023144346504	ElectroEncephaloGram	1000.0046288693007	good	n/a
FC6	EEG	V	0.0	500.0023144346504	ElectroEncephaloGram	1000.0046288693007	good	n/a
F10	EEG	V	0.0	500.0023144346504	ElectroEncephaloGram	1000.0046288693007	good	n/a
F8	EEG	V	0.0	500.0023144346504	ElectroEncephaloGram	1000.0046288693007	good	n/a
F4	EEG	V	0.0	500.0023144346504	ElectroEncephaloGram	1000.0046288693007	good	n/a
Fp2	EEG	V	0.0	500.0023144346504	ElectroEncephaloGram	1000.0046288693007	good	n/a
